sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
1626_0,158.0,461.0,90.0,7,24,26,2,72,1
1642_0,166.0,609.0,85.0,23,34,33,5,67,1
1665_0,77.0,558.0,64.0,1541,32,22,7,67,1
1670_0,163.0,495.0,88.0,26,24,30,2,72,1
1683_0,63.0,1101.0,72.0,1883,32,12,13,56,1
1701_0,43.0,1013.0,60.0,2183,22,9,10,54,1
1718_0,144.0,1119.0,81.0,707,21,20,5,58,1
1722_0,124.0,1454.0,79.0,1097,22,22,9,59,1
1730_0,166.0,524.0,84.0,17,24,26,2,72,1
1740_0,163.0,555.0,78.0,158,32,23,3,72,1
1786_0,157.0,428.0,88.0,2,34,26,2,76,1
1791_0,164.0,472.0,84.0,4,24,45,4,75,1
1803_0,70.0,1089.0,68.0,1688,21,11,10,57,1
1805_0,160.0,418.0,82.0,40,34,22,3,74,1
1825_0,164.0,465.0,85.0,7,34,32,2,75,1
1844_0,100.0,1040.0,78.0,1072,41,20,8,63,1
1864_0,155.0,1027.0,83.0,185,42,21,6,64,1
1904_0,147.0,915.0,71.0,650,21,18,3,67,1
1935_0,161.0,571.0,84.0,124,21,22,3,69,1
1964_0,115.0,1597.0,82.0,1017,22,24,8,55,1
1971_0,80.0,1100.0,76.0,1548,33,14,21,55,1
1983_0,87.0,1141.0,76.0,1352,33,15,15,56,1
1984_0,155.0,575.0,82.0,273,22,32,3,74,1
2009_0,123.0,1417.0,82.0,648,42,21,7,62,1
2012_0,67.0,1110.0,72.0,1898,22,12,13,57,1
2019_0,131.0,1374.0,79.0,1091,21,20,8,56,1
2020_0,81.0,1361.0,77.0,1676,21,13,14,56,1
2039_0,164.0,804.0,82.0,75,42,21,4,73,1
2046_0,160.0,453.0,88.0,11,41,29,4,71,1
2054_0,78.0,1311.0,76.0,1752,22,10,16,55,1
2085_0,141.0,1189.0,82.0,654,32,20,5,57,1
2088_0,118.0,1459.0,84.0,902,32,24,9,56,1
2127_0,153.0,928.0,83.0,429,21,24,4,74,1
2150_0,159.0,443.0,82.0,41,24,18,2,68,1
2157_0,155.0,411.0,84.0,3,34,16,2,78,1
2168_0,160.0,482.0,82.0,91,21,27,2,70,1
2189_0,104.0,1042.0,78.0,1042,32,19,7,64,1
2210_0,70.0,942.0,67.0,1637,31,11,9,55,1
2214_0,80.0,1394.0,76.0,1689,22,15,13,53,1
2216_0,164.0,530.0,80.0,98,24,19,2,72,1
2218_0,161.0,627.0,81.0,47,24,21,2,71,1
2227_0,119.0,1513.0,78.0,1258,22,20,10,58,1
2231_0,161.0,485.0,83.0,24,34,40,5,72,1
2232_0,161.0,493.0,87.0,25,24,28,2,76,1
2238_0,127.0,1333.0,78.0,1097,21,20,7,56,1
2245_0,151.0,757.0,91.0,48,34,26,3,72,1
2250_0,60.0,1180.0,71.0,1989,22,6,20,52,1
2252_0,149.0,742.0,82.0,462,21,20,3,71,1
2271_0,148.0,585.0,90.0,23,32,21,3,70,1
2288_0,78.0,1550.0,77.0,1787,31,6,14,54,1
2316_0,104.0,1475.0,79.0,1522,11,20,9,59,1
2319_0,159.0,455.0,88.0,28,24,29,2,74,1
2325_0,153.0,628.0,81.0,344,34,27,3,71,1
2340_0,77.0,1181.0,76.0,1610,32,13,18,55,1
2344_0,164.0,558.0,84.0,51,21,22,2,74,1
2351_0,157.0,930.0,84.0,239,31,24,5,70,1
2377_0,164.0,581.0,84.0,66,21,24,2,76,1
2380_0,147.0,622.0,91.0,18,31,21,4,71,1
2388_0,146.0,778.0,91.0,339,41,24,3,69,1
2389_0,166.0,524.0,85.0,18,34,23,2,73,1
2406_0,138.0,1031.0,91.0,508,31,23,3,67,1
2412_0,166.0,748.0,76.0,206,21,26,2,72,1
2417_0,164.0,603.0,86.0,36,34,20,2,73,1
2422_0,138.0,1028.0,91.0,548,32,22,7,59,1
2442_0,91.0,1448.0,78.0,1459,33,15,12,56,1
2453_0,154.0,523.0,92.0,11,34,32,2,74,1
2459_0,92.0,1008.0,77.0,1337,22,18,8,57,1
2474_0,155.0,402.0,85.0,2,24,15,2,74,1
2483_0,113.0,1463.0,85.0,1028,21,19,9,54,1
2495_0,168.0,618.0,77.0,104,24,25,2,73,1
2534_0,70.0,728.0,66.0,1617,41,8,8,56,1
2540_0,162.0,747.0,84.0,90,41,24,3,72,1
2564_0,158.0,430.0,88.0,1,24,30,3,75,1
2585_0,46.0,817.0,59.0,2246,12,10,16,58,1
2611_0,150.0,743.0,83.0,382,31,21,4,63,1
2614_0,166.0,593.0,84.0,24,24,22,2,71,1
2615_0,93.0,901.0,75.0,1234,31,17,8,60,1
2616_0,161.0,517.0,82.0,45,24,21,3,72,1
2628_0,163.0,554.0,92.0,38,24,25,3,68,1
2629_0,163.0,502.0,88.0,20,41,21,3,74,1
2673_0,142.0,800.0,90.0,470,22,24,4,65,1
2676_0,120.0,1564.0,79.0,1075,42,20,8,57,1
2678_0,160.0,470.0,83.0,26,24,30,2,72,1
2685_0,155.0,581.0,80.0,311,31,25,4,71,1
2701_0,163.0,452.0,86.0,1,24,38,4,73,1
2709_0,57.0,1334.0,75.0,2051,21,6,10,55,1
2714_0,112.0,1749.0,80.0,1371,33,21,14,55,1
2759_0,147.0,697.0,89.0,107,32,27,3,71,1
2769_0,149.0,820.0,92.0,69,31,23,5,65,1
2771_0,164.0,565.0,83.0,23,34,35,5,71,1
2791_0,75.0,1017.0,72.0,1526,22,8,12,58,1
2807_0,118.0,1593.0,81.0,1159,21,22,9,54,1
2813_0,80.0,368.0,53.0,1475,32,18,2,74,1
2818_0,44.0,1164.0,65.0,2235,22,10,21,55,1
2859_0,82.0,1599.0,77.0,1622,41,9,8,60,1
2864_0,116.0,1566.0,82.0,822,33,23,8,57,1
2876_0,114.0,1605.0,81.0,1090,22,24,8,55,1
2879_0,160.0,458.0,83.0,29,24,30,3,68,1
2882_0,103.0,1061.0,77.0,1064,34,20,3,73,1
2894_0,162.0,498.0,88.0,33,24,26,2,75,1
2910_0,82.0,1168.0,77.0,1474,41,16,16,53,1
2919_0,161.0,641.0,82.0,48,34,22,2,71,1
2932_0,147.0,903.0,70.0,643,22,20,4,68,1
2935_0,160.0,650.0,82.0,50,24,21,4,71,1
2957_0,170.0,611.0,76.0,105,34,24,2,71,1
2973_0,138.0,1243.0,80.0,709,33,25,11,58,1
2980_0,165.0,718.0,75.0,283,32,24,4,71,1
2982_0,165.0,583.0,86.0,30,34,21,4,73,1
2986_0,162.0,578.0,92.0,51,34,25,4,74,1
2992_0,162.0,674.0,82.0,45,34,32,4,72,1
2995_0,142.0,947.0,73.0,710,21,19,4,69,1
3003_0,157.0,472.0,87.0,58,32,30,3,73,1
3017_0,163.0,549.0,84.0,22,34,41,4,75,1
3034_0,154.0,551.0,83.0,268,32,27,3,71,1
3048_0,161.0,513.0,82.0,136,34,29,5,70,1
3065_0,167.0,554.0,78.0,71,41,23,2,72,1
3082_0,155.0,785.0,83.0,318,22,21,5,69,1
3094_0,120.0,1516.0,82.0,1012,21,24,9,56,1
3100_0,162.0,479.0,81.0,112,22,23,2,72,1
3105_0,147.0,645.0,92.0,2,34,29,4,71,1
3131_0,164.0,697.0,77.0,213,21,22,3,71,1
3132_0,163.0,641.0,84.0,82,31,16,2,66,1
3148_0,62.0,1150.0,68.0,1766,32,11,13,57,1
3154_0,168.0,924.0,74.0,174,21,20,2,71,1
3206_0,69.0,1440.0,77.0,1970,21,12,12,56,1
3231_0,90.0,1723.0,78.0,1569,32,10,10,54,1
3233_0,164.0,539.0,79.0,150,31,20,2,69,1
3264_0,160.0,520.0,83.0,72,24,22,2,68,1
3265_0,159.0,559.0,80.0,219,22,25,2,74,1
3282_0,163.0,535.0,84.0,73,32,22,2,72,1
3290_0,76.0,1181.0,71.0,1495,31,12,11,58,1
3307_0,64.0,726.0,62.0,1769,22,11,12,57,1
3312_0,161.0,507.0,83.0,95,31,27,3,74,1
3314_0,157.0,528.0,81.0,234,21,27,2,70,1
3352_0,160.0,640.0,82.0,52,24,21,2,72,1
3369_0,146.0,875.0,84.0,373,42,19,5,65,1
3378_0,86.0,1633.0,78.0,1608,32,9,8,57,1
3403_0,166.0,668.0,84.0,32,34,23,2,73,1
3418_0,164.0,618.0,86.0,41,24,19,2,73,1
3424_0,97.0,1060.0,79.0,1181,32,15,9,56,1
3445_0,150.0,475.0,88.0,19,22,28,4,72,1
3447_0,90.0,1082.0,78.0,1385,21,15,11,62,1
