sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
1147_0,14.9,1241.0,18.0,76,24,12,2,6.1,3
1153_0,17.2,1391.0,21.0,40,34,36,8,6.1,3
1179_0,16.4,1373.0,20.0,50,24,42,2,5.9,99
1180_0,17.1,1322.0,17.0,48,24,20,2,5.8,99
1195_0,17.1,1358.0,22.0,40,24,40,4,6.3,1
1197_0,14.8,1231.0,18.0,79,34,22,2,5.6,3
1208_0,16.0,1296.0,20.0,61,34,26,4,5.9,1
1215_0,16.2,1296.0,20.0,77,42,17,2,5.4,3
1216_0,15.9,1263.0,20.0,63,41,32,3,6.7,5
1225_0,15.2,1256.0,18.0,87,41,28,10,6.9,5
1238_0,13.8,1186.0,16.0,182,21,14,4,5.8,1
1250_0,16.1,1312.0,21.0,56,34,33,4,6.1,1
1279_0,16.7,1335.0,21.0,44,34,28,2,6.0,5
1282_0,15.9,1254.0,20.0,68,24,31,2,6.5,5
1285_0,14.8,1210.0,17.0,88,34,27,7,6.2,5
1289_0,16.5,1320.0,20.0,45,34,46,9,6.3,3
1313_0,16.2,1287.0,19.0,94,24,24,3,5.7,5
1316_0,15.6,1244.0,19.0,70,24,33,4,6.5,5
1327_0,15.5,1249.0,19.0,68,34,41,5,5.9,5
1335_0,17.0,1391.0,21.0,43,34,27,7,5.7,99
1338_0,15.9,1231.0,19.0,69,24,25,4,6.3,5
1346_0,16.3,1351.0,20.0,54,24,23,2,6.1,5
1356_0,16.4,1329.0,20.0,49,34,40,4,6.1,3
1387_0,16.0,1262.0,21.0,64,24,23,2,5.8,2
1391_0,16.5,1311.0,20.0,50,24,27,6,6.2,5
1396_0,15.9,1224.0,19.0,73,24,22,2,5.9,1
1398_0,15.5,1249.0,19.0,66,41,26,2,6.1,1
1407_0,16.1,1307.0,20.0,88,31,26,4,5.7,5
1413_0,16.3,1288.0,20.0,55,24,36,8,6.4,2
1423_0,17.0,1363.0,22.0,40,41,46,4,6.6,5
1434_0,16.6,1307.0,20.0,53,34,26,6,5.6,5
1446_0,15.3,1203.0,18.0,76,34,23,4,6.0,5
1453_0,15.2,1245.0,19.0,77,24,20,2,5.8,3
1454_0,16.0,1264.0,19.0,62,21,19,2,5.6,2
1459_0,14.8,1237.0,18.0,77,34,14,2,6.0,1
1463_0,14.6,1205.0,16.0,86,34,21,2,5.9,3
1475_0,16.0,1251.0,20.0,64,24,37,3,6.0,99
1476_0,17.3,1384.0,22.0,36,34,39,2,6.1,5
1477_0,13.5,1177.0,16.0,202,21,13,4,5.7,5
1489_0,15.9,1323.0,20.0,66,34,13,2,6.0,1
1492_0,15.3,1205.0,18.0,77,41,23,4,6.2,3
