system:index,bio01_temp,bio12_precip,bio15_precip_season,elevation,label,landforms,soil_clay,soil_oc,soil_ph,.geo
0_0,160.0,455.0,87.0,48,75,34,24,2,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,161.0,481.0,86.0,41,176,24,19,2,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,147.0,701.0,92.0,5,122,34,29,2,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,101.0,1037.0,71.0,1160,142,21,18,7,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,56.0,672.0,56.0,1912,142,24,10,9,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,162.0,504.0,81.0,66,75,34,24,3,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,161.0,787.0,79.0,283,152,22,26,2,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,91.0,1010.0,75.0,1333,142,21,15,9,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,157.0,488.0,84.0,148,176,41,31,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,160.0,451.0,87.0,41,123,24,25,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,166.0,623.0,85.0,26,3,24,34,18,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,169.0,957.0,78.0,150,122,24,22,4,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,159.0,454.0,88.0,2,124,24,30,4,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,72.0,1225.0,75.0,1765,142,22,11,18,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,161.0,650.0,82.0,42,75,34,24,2,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,159.0,450.0,87.0,51,75,24,26,4,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,165.0,476.0,84.0,7,3,24,34,3,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,155.0,984.0,79.0,424,152,21,23,5,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,163.0,604.0,80.0,47,75,34,26,4,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,117.0,1545.0,82.0,887,142,32,22,6,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,159.0,452.0,87.0,50,75,34,22,2,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,83.0,1317.0,78.0,1601,142,31,15,15,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,154.0,729.0,87.0,307,152,31,23,3,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,160.0,491.0,85.0,49,121,24,18,2,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,161.0,474.0,87.0,11,36,34,29,2,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,147.0,663.0,90.0,68,69,31,27,4,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,58.0,809.0,66.0,2016,142,22,9,13,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,66.0,1210.0,72.0,1845,152,21,11,14,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,156.0,394.0,85.0,-1,36,34,29,3,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,152.0,509.0,90.0,0,195,34,25,4,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,163.0,698.0,79.0,97,176,34,27,2,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,50.0,921.0,66.0,2129,142,11,8,8,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,150.0,577.0,89.0,5,124,34,24,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,162.0,582.0,83.0,27,3,41,44,5,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,164.0,1078.0,79.0,255,152,22,26,2,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,165.0,570.0,78.0,159,176,32,21,2,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,120.0,1544.0,82.0,822,142,41,24,10,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,72.0,1178.0,70.0,1532,142,32,12,12,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,161.0,536.0,83.0,75,176,21,25,2,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,155.0,492.0,86.0,101,176,32,32,4,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,148.0,776.0,82.0,472,122,34,22,3,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,133.0,1303.0,79.0,727,142,21,22,5,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,89.0,1000.0,75.0,1395,142,22,13,8,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,76.0,937.0,72.0,1596,142,31,16,9,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,161.0,506.0,89.0,26,36,34,20,4,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,82.0,1310.0,77.0,1635,142,21,10,19,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,142.0,620.0,87.0,434,152,31,25,4,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,121.0,1469.0,79.0,1299,142,21,18,9,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,151.0,668.0,91.0,213,152,32,29,3,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,164.0,471.0,84.0,4,3,34,42,4,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,149.0,745.0,90.0,228,152,41,23,4,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,164.0,509.0,85.0,16,61,34,29,3,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,157.0,583.0,94.0,32,123,34,29,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,58.0,833.0,61.0,1869,142,22,10,11,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,121.0,1440.0,83.0,789,142,22,16,6,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,165.0,474.0,84.0,12,123,34,33,5,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,53.0,759.0,60.0,1992,142,22,10,11,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,161.0,747.0,84.0,113,176,31,24,4,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,157.0,410.0,86.0,1,77,24,23,3,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,162.0,495.0,87.0,53,122,42,28,2,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
