system:index,bio01_temp,bio12_precip,bio15_precip_season,elevation,label,landforms,soil_clay,soil_oc,soil_ph,.geo
115_0,160.0,441.0,81.0,77,176,34,25,3,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,158.0,446.0,85.0,41,76,24,24,2,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,162.0,575.0,83.0,29,3,41,44,6,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,64.0,1198.0,72.0,1836,142,31,12,14,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,81.0,950.0,73.0,1563,142,31,15,10,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,165.0,523.0,85.0,4,3,24,26,4,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,165.0,537.0,79.0,123,75,34,23,3,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,162.0,561.0,93.0,32,76,34,24,3,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,166.0,772.0,77.0,192,152,31,24,2,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,156.0,466.0,87.0,106,176,41,32,2,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,156.0,802.0,84.0,170,142,41,25,5,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,57.0,1153.0,72.0,2126,142,23,6,13,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,155.0,397.0,83.0,3,36,24,22,3,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,163.0,612.0,82.0,29,3,34,40,3,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,79.0,984.0,75.0,1453,142,32,13,12,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,163.0,656.0,83.0,40,61,34,35,5,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,163.0,721.0,82.0,60,176,34,31,2,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,169.0,875.0,75.0,153,176,34,20,2,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,163.0,456.0,84.0,7,3,34,43,4,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,152.0,957.0,78.0,534,152,11,24,4,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,61.0,604.0,59.0,1838,142,32,6,9,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,162.0,474.0,88.0,26,123,24,27,2,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,84.0,983.0,75.0,1452,142,22,14,7,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,82.0,1073.0,74.0,1483,142,31,14,9,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,97.0,1083.0,78.0,1252,142,41,14,10,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,163.0,518.0,85.0,54,123,31,24,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,158.0,443.0,87.0,25,61,34,33,3,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,163.0,487.0,89.0,25,123,24,27,2,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,110.0,1453.0,85.0,1073,142,21,23,9,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,158.0,950.0,72.0,393,152,31,25,4,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,162.0,509.0,83.0,19,3,41,39,6,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,165.0,837.0,73.0,250,176,21,21,3,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,65.0,848.0,69.0,1812,142,32,3,10,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,65.0,1100.0,65.0,1840,142,22,11,11,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,158.0,445.0,84.0,36,76,24,27,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,163.0,490.0,86.0,10,61,34,21,2,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,63.0,1170.0,70.0,1928,142,22,7,21,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,162.0,475.0,88.0,30,121,24,27,2,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,160.0,504.0,81.0,111,176,21,23,2,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,161.0,501.0,83.0,104,75,21,23,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,102.0,1443.0,77.0,1340,142,41,11,11,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,163.0,517.0,85.0,47,124,24,24,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,158.0,481.0,89.0,11,76,34,28,2,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,85.0,1140.0,78.0,1525,142,31,7,12,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,163.0,491.0,89.0,19,121,34,20,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,165.0,485.0,83.0,10,61,24,31,3,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,158.0,518.0,81.0,273,176,21,25,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,121.0,1303.0,83.0,835,142,32,21,10,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,153.0,608.0,81.0,352,176,32,24,4,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,148.0,707.0,91.0,46,123,22,23,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
242_0,132.0,1464.0,84.0,683,142,21,16,6,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
243_0,169.0,571.0,77.0,68,76,34,23,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
246_0,162.0,470.0,87.0,24,122,24,30,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,157.0,923.0,72.0,411,152,41,22,4,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,158.0,460.0,87.0,59,75,34,25,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,107.0,1163.0,83.0,1094,142,21,23,9,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
260_0,164.0,537.0,81.0,81,176,24,19,2,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
264_0,84.0,1078.0,76.0,1546,142,32,13,13,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
265_0,159.0,424.0,84.0,17,122,24,33,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
270_0,144.0,892.0,81.0,621,152,22,20,4,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
272_0,140.0,1196.0,84.0,506,142,41,16,6,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
277_0,84.0,1140.0,72.0,1391,142,22,18,8,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
282_0,75.0,852.0,71.0,1400,142,32,12,17,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
283_0,151.0,740.0,91.0,229,121,41,22,5,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
286_0,117.0,850.0,82.0,960,142,41,21,8,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
292_0,162.0,463.0,88.0,25,122,24,29,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
299_0,156.0,367.0,85.0,-8,1,24,31,5,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,132.0,1343.0,84.0,600,142,32,15,8,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,144.0,660.0,87.0,224,152,12,30,3,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
304_0,134.0,1290.0,81.0,691,142,31,24,6,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
306_0,164.0,462.0,85.0,11,42,24,26,2,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,162.0,469.0,86.0,4,123,41,29,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
313_0,71.0,1077.0,72.0,1701,142,21,12,11,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
317_0,70.0,1382.0,75.0,1920,142,21,11,22,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
320_0,157.0,476.0,84.0,128,176,21,39,2,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,164.0,528.0,84.0,41,123,34,26,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
328_0,160.0,498.0,82.0,89,176,31,27,2,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
329_0,158.0,920.0,84.0,216,152,21,27,4,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
332_0,158.0,454.0,88.0,49,75,34,28,4,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
334_0,163.0,538.0,84.0,72,123,21,23,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
336_0,158.0,429.0,88.0,4,111,24,31,4,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
337_0,163.0,513.0,87.0,39,124,34,25,2,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
344_0,137.0,1120.0,80.0,844,142,22,18,6,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
345_0,154.0,441.0,84.0,18,124,24,27,2,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
346_0,76.0,1463.0,77.0,1745,142,31,12,14,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
347_0,158.0,446.0,86.0,29,3,34,30,4,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
352_0,157.0,431.0,88.0,6,123,24,29,2,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
354_0,48.0,694.0,55.0,2060,142,31,10,12,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
358_0,50.0,1092.0,69.0,2172,142,21,7,15,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
361_0,164.0,885.0,73.0,291,176,24,23,2,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
362_0,115.0,1585.0,82.0,965,142,21,23,8,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
364_0,64.0,834.0,64.0,1749,142,41,10,15,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
368_0,109.0,1730.0,79.0,1390,142,21,20,9,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
372_0,153.0,485.0,86.0,252,176,12,29,4,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
373_0,162.0,479.0,88.0,36,176,32,24,2,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
376_0,160.0,478.0,84.0,37,3,34,29,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
377_0,161.0,518.0,83.0,30,76,24,22,2,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
378_0,166.0,501.0,84.0,15,121,24,27,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
379_0,160.0,451.0,83.0,20,123,24,19,2,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
387_0,149.0,805.0,90.0,229,152,31,25,3,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
389_0,162.0,629.0,80.0,49,76,34,28,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
390_0,116.0,1553.0,83.0,1032,142,21,24,12,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
392_0,57.0,994.0,61.0,1934,142,32,8,9,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
393_0,164.0,616.0,80.0,49,75,34,29,4,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
398_0,156.0,410.0,87.0,-1,77,24,21,5,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
401_0,165.0,560.0,87.0,25,3,24,29,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
404_0,61.0,1191.0,69.0,1887,142,22,8,18,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
405_0,119.0,1551.0,79.0,1278,142,21,19,9,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
408_0,164.0,468.0,83.0,5,6,34,44,3,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
409_0,164.0,480.0,83.0,11,111,24,31,5,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
411_0,61.0,1199.0,73.0,1957,142,32,5,9,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
413_0,160.0,514.0,90.0,88,176,34,23,2,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
416_0,68.0,696.0,64.0,1672,142,41,11,11,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
417_0,164.0,461.0,84.0,10,54,24,34,2,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
418_0,54.0,708.0,59.0,1930,142,21,7,9,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
420_0,165.0,476.0,84.0,9,3,24,39,4,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
423_0,161.0,596.0,83.0,34,3,34,35,4,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
430_0,166.0,553.0,77.0,126,176,41,19,2,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
432_0,89.0,389.0,62.0,1355,152,21,22,2,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
434_0,65.0,705.0,62.0,1772,142,22,10,9,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
440_0,164.0,475.0,85.0,4,6,34,45,4,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
441_0,89.0,1404.0,78.0,1556,142,22,13,13,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
445_0,159.0,417.0,82.0,29,69,34,23,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
447_0,161.0,493.0,86.0,51,176,24,23,2,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
449_0,81.0,1156.0,75.0,1546,142,33,16,14,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
450_0,76.0,1233.0,76.0,1685,142,31,11,14,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
451_0,160.0,436.0,84.0,20,121,24,25,3,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
452_0,170.0,578.0,76.0,106,123,34,20,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
453_0,164.0,876.0,72.0,300,176,24,23,2,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
454_0,160.0,548.0,93.0,25,75,34,26,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
458_0,75.0,872.0,71.0,1523,142,24,11,8,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
459_0,57.0,967.0,62.0,1973,142,31,9,13,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
462_0,155.0,492.0,86.0,93,176,32,30,5,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
464_0,154.0,689.0,91.0,190,152,21,22,9,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
466_0,160.0,448.0,86.0,40,75,34,24,2,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
473_0,152.0,457.0,89.0,1,195,34,31,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
474_0,157.0,900.0,75.0,425,152,31,25,4,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
475_0,158.0,830.0,75.0,398,152,32,21,4,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
478_0,71.0,1290.0,75.0,1832,142,21,11,15,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
479_0,149.0,763.0,90.0,264,152,22,27,4,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
480_0,63.0,1172.0,70.0,1934,142,21,5,16,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
481_0,167.0,536.0,84.0,18,122,24,23,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
482_0,159.0,446.0,84.0,25,3,34,32,5,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
486_0,160.0,523.0,83.0,88,176,32,20,4,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
489_0,163.0,684.0,85.0,79,176,31,29,2,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
495_0,127.0,1372.0,82.0,824,142,31,20,7,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
501_0,158.0,450.0,86.0,13,122,34,28,2,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
503_0,160.0,507.0,90.0,24,211,24,27,2,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
504_0,97.0,1031.0,81.0,1337,142,21,20,11,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
509_0,163.0,583.0,84.0,114,123,21,21,3,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
510_0,152.0,893.0,73.0,560,152,11,23,4,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
513_0,47.0,904.0,58.0,2119,142,32,7,12,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
516_0,166.0,676.0,84.0,31,176,41,19,2,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
517_0,155.0,516.0,81.0,242,176,22,36,2,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
519_0,158.0,845.0,84.0,209,152,21,26,4,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
520_0,158.0,604.0,93.0,47,123,34,26,3,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
522_0,147.0,782.0,90.0,130,152,32,27,4,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
525_0,161.0,752.0,85.0,125,176,41,27,4,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
526_0,150.0,987.0,82.0,475,142,22,22,7,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
528_0,114.0,1611.0,78.0,1257,142,41,13,8,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
532_0,162.0,645.0,81.0,53,123,34,27,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
533_0,63.0,1277.0,73.0,2002,142,22,11,14,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
537_0,141.0,1042.0,75.0,700,152,32,20,5,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
539_0,75.0,1175.0,72.0,1526,142,41,13,13,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
540_0,67.0,886.0,66.0,1673,142,31,11,10,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
541_0,84.0,1179.0,78.0,1519,142,22,15,15,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
543_0,74.0,1122.0,73.0,1692,142,21,13,11,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
549_0,124.0,1347.0,83.0,808,142,22,20,8,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
550_0,149.0,840.0,84.0,351,142,31,20,5,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
557_0,161.0,583.0,92.0,106,176,22,35,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
561_0,150.0,541.0,89.0,10,176,32,35,4,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
562_0,59.0,654.0,58.0,1910,142,21,13,8,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
564_0,74.0,1157.0,75.0,1685,142,31,14,13,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
572_0,148.0,933.0,73.0,645,152,23,20,4,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
575_0,92.0,1016.0,78.0,1283,142,11,16,8,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
580_0,165.0,535.0,80.0,96,176,21,17,2,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
582_0,160.0,459.0,83.0,21,3,34,37,4,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
583_0,156.0,469.0,85.0,120,176,31,36,2,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
588_0,158.0,460.0,87.0,56,75,34,25,2,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
589_0,164.0,535.0,83.0,20,3,41,33,3,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
590_0,160.0,501.0,89.0,87,69,31,23,3,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
594_0,157.0,424.0,87.0,5,61,24,24,3,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
602_0,145.0,780.0,89.0,456,152,31,23,3,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
604_0,164.0,631.0,83.0,29,3,34,37,3,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
607_0,144.0,1127.0,84.0,575,142,21,20,5,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
612_0,163.0,685.0,79.0,82,176,24,25,3,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
613_0,155.0,395.0,89.0,31,24,22,23,4,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
614_0,161.0,458.0,83.0,16,3,41,41,5,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
618_0,61.0,1209.0,72.0,1971,142,21,9,17,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
