system:index,bio01_temp,bio12_precip,bio15_precip_season,elevation,label,landforms,soil_clay,soil_oc,soil_ph,.geo
2_0,168.0,1364.0,21.0,51,2,24,22,2,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,171.0,1323.0,17.0,51,5,34,21,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,142.0,1187.0,17.0,232,141,21,13,4,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,159.0,1227.0,19.0,72,3,24,17,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,160.0,1289.0,21.0,59,2,34,13,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,143.0,1175.0,16.0,120,122,31,16,3,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,172.0,1332.0,21.0,41,5,34,42,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,169.0,1377.0,22.0,42,5,24,20,2,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,131.0,1175.0,16.0,281,176,21,16,3,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,157.0,1246.0,20.0,71,190,34,27,3,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,147.0,1214.0,17.0,195,176,31,17,4,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,159.0,1215.0,19.0,74,3,24,16,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,136.0,1161.0,16.0,188,141,31,14,2,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,173.0,1366.0,22.0,38,5,34,18,2,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,158.0,1216.0,18.0,72,5,24,16,2,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,160.0,1386.0,20.0,99,142,41,17,4,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,166.0,1382.0,20.0,51,2,24,17,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,165.0,1322.0,20.0,46,5,34,43,3,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,155.0,1276.0,18.0,76,5,21,26,6,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,155.0,1226.0,18.0,130,176,21,12,3,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,154.0,1250.0,19.0,68,2,24,18,3,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,166.0,1333.0,20.0,59,190,24,28,26,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,173.0,1382.0,22.0,37,5,34,20,2,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,169.0,1324.0,20.0,51,190,34,21,5,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,159.0,1267.0,20.0,76,190,24,27,4,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,155.0,1261.0,18.0,71,5,34,35,3,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,164.0,1277.0,20.0,67,1,24,15,3,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,159.0,1226.0,19.0,73,5,24,18,2,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,159.0,1261.0,20.0,65,5,24,44,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,145.0,1181.0,17.0,89,176,41,17,3,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,161.0,1285.0,21.0,59,5,34,28,2,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,144.0,1205.0,16.0,85,3,24,10,1,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,164.0,1318.0,20.0,47,5,34,26,2,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,149.0,1254.0,18.0,78,2,24,13,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,157.0,1250.0,19.0,62,5,34,43,5,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,148.0,1230.0,18.0,78,3,34,17,2,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,160.0,1337.0,20.0,84,123,31,12,2,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,161.0,1335.0,22.0,61,2,34,23,2,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,161.0,1313.0,20.0,54,190,34,16,2,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,166.0,1270.0,19.0,60,5,24,18,2,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,161.0,1341.0,20.0,55,1,34,16,2,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,168.0,1314.0,20.0,50,190,34,23,8,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,158.0,1215.0,18.0,74,5,24,17,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,146.0,1204.0,16.0,90,3,34,13,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,147.0,1212.0,18.0,89,1,34,20,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,170.0,1359.0,21.0,40,3,34,46,3,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,169.0,1366.0,22.0,42,1,34,29,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,172.0,1395.0,21.0,48,190,41,27,2,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,161.0,1278.0,21.0,57,5,41,48,4,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,155.0,1250.0,19.0,67,2,34,16,3,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,157.0,1227.0,19.0,75,1,34,13,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,154.0,1252.0,18.0,70,5,24,37,3,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,161.0,1255.0,20.0,66,3,34,15,3,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,161.0,1271.0,21.0,65,1,21,23,2,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,167.0,1312.0,20.0,47,190,24,33,7,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,160.0,1283.0,20.0,65,190,34,26,12,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,162.0,1354.0,21.0,53,190,24,32,2,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,173.0,1381.0,22.0,39,190,41,38,5,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,153.0,1247.0,19.0,76,1,34,22,2,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
